N,link,price,cls,active
231,https://kaspi.kz/shop/p/nasos-poverhnostnyi-vihr-pn-650-68-4-5-27700142,35090,0,1
232,https://kaspi.kz/shop/p/resanta-tp-210pl-75-18-4-104946336,122890,0,1
233,https://kaspi.kz/shop/p/vihr-pt-255pl-100107837,130790,0,1
234,https://kaspi.kz/shop/p/kamera-videonabljudenija-xiaomi-smart-ip-camera-standard-1920x1080-101085017,11488,0,1
235,https://kaspi.kz/shop/p/huter-dy6500l-k64-1-6-103416817,281390,0,1
236,https://kaspi.kz/shop/p/huter-elektricheskaja-els-2800-100227299,55990,0,1
237,https://kaspi.kz/shop/p/huter-mk-7800p-4h2-104683336,254890,0,1
238,https://kaspi.kz/shop/p/vihr-r-110-1300-100697353,51590,0,1
239,https://kaspi.kz/shop/p/resanta-tepk-9000k-krasnyi-100803774,83090,0,1
240,https://kaspi.kz/shop/p/huter-benzinovaja-bs-25-70-6-5-19200020,55390,0,1
241,https://kaspi.kz/shop/p/resanta-svarochnyi-invertor-sai-160pn-mma--30000056,60590,0,1
242,https://kaspi.kz/shop/p/shlifmashina-uglovaja-resanta-ushm-230-2300-100084350,48890,0,1
243,https://kaspi.kz/shop/p/resanta-71-6-59-6-m-105148318,106112,0,1
244,https://kaspi.kz/shop/p/vihr-drel--mikser-d-1000m-100159686,36990,0,1
245,https://kaspi.kz/shop/p/resanta-svarochnyi-invertor-saipa-200prof-65-97-mig-mag--103962012,210590,0,1
246,https://kaspi.kz/shop/p/vihr-drel--shurupovert-da-24l-2k-12301195,40490,0,1
247,https://kaspi.kz/shop/p/resanta-fe-2000ekd-100001247,31390,0,1
248,https://kaspi.kz/shop/p/huter-mk-7000ps-70-5-20-105488745,223990,0,1
249,https://kaspi.kz/shop/p/huter-stsepka-dlja-motoblokov-dlja-kul-tivatorov-71-3-66-104844247,14686,0,1
250,https://kaspi.kz/shop/p/huter-mk-7500r-104717590,238690,0,1
251,https://kaspi.kz/shop/p/resanta-drel--shurupovert-resanta-da-14-2l-100002716,27790,0,1
252,https://kaspi.kz/shop/p/vihr-drel--shurupovert-da-14-4l-2-12301544,21690,0,1
253,https://kaspi.kz/shop/p/nasosnaja-stantsija-vihr-asv-600-20n-27701142,67290,0,1
254,https://kaspi.kz/shop/p/huter-elektricheskaja-els-2000-103513645,46490,0,1
255,https://kaspi.kz/shop/p/resanta-benzinovaja-bp-5220-70-6-15-101400034,61290,0,1
256,https://kaspi.kz/shop/p/shlifmashina-uglovaja-resanta-ushm-180-1800-100083832,45790,0,1
257,https://kaspi.kz/shop/p/huter-benzinovaja-bs-62-19200048,66390,0,1
258,https://kaspi.kz/shop/p/resanta-mfi-400-75-4-2-104422155,25090,0,1
259,https://kaspi.kz/shop/p/vihr-dp-210-2000-19100187,54590,0,1
260,https://kaspi.kz/shop/p/resanta-gaikovert-gs-1100-75-24-1-104635973,45190,0,1
261,https://kaspi.kz/shop/p/xiaomi-mi-20w-wireless-car-charger-wcj02zm-101270053,10250.52,0,1
263,https://kaspi.kz/shop/p/stabilizator-naprjazhenija-resanta-asn-10000-1-ts-5400778,102290,0,1
264,https://kaspi.kz/shop/p/xiaomi-mijia-mi-home-induction-cooker-lite-dcl002cm-belyi-101149974,19310,0,1
266,https://kaspi.kz/shop/p/huter-ggd-52-70-13-1-100083397,64490,0,1
267,https://kaspi.kz/shop/p/xiaomi-mijia-lint-remover-mqxjq01kl-belyi-100726504,4907,0,1
269,https://kaspi.kz/shop/p/xiaomi-nasadka-na-shvabru-deerma-spray-mop-seryi-100184762,3129,0,1
271,https://kaspi.kz/shop/p/xiaomi-mijia-electric-shaver-s500-rotornaja-ot-akkumuljatora-100328703,10380,0,1
272,https://kaspi.kz/shop/p/xiaomi-bedside-lamp-2-mjctd02yl-belyi-47500007,14394,0,1
273,https://kaspi.kz/shop/p/artel-hd-345rn-s-belyi-105530000,160000,0,1
274,https://kaspi.kz/shop/p/artel-345rn-belyi-2700596,160000,0,1
275,https://kaspi.kz/shop/p/artel-hd-345-rn-wh-belyi-2702563,160000,0,1
276,https://kaspi.kz/shop/p/artel-hd-345-rn-serebristyi-2702217,160000,0,1
277,https://kaspi.kz/shop/p/birjusa-m118-seryi-101662822,160000,0,1
278,https://kaspi.kz/shop/p/artel-hd-345rn-steel-seryi-100531318,160000,0,1
